LOCATION,Year,Imports
POL,2022,60.7024599416891
PRT,2010,37.7139865308418
PRT,2011,38.644682399142
PRT,2012,38.2728240456527
PRT,2013,38.5079296469449
PRT,2014,40.0663398736754
PRT,2015,39.8757789350306
PRT,2016,39.0634059895101
PRT,2017,41.7148741234948
PRT,2018,42.9830419043532
PRT,2019,43.0562955633461
PRT,2020,39.190714226037
PRT,2021,44.486466485775
PRT,2022,52.5875781491262
SVK,2010,76.8925787145593
SVK,2011,83.6558936701812
SVK,2012,85.3350699790495
SVK,2013,87.9086772864054
SVK,2014,86.6334167704326
SVK,2015,88.5875576940972
SVK,2016,90.5673999658181
SVK,2017,92.9847860768712
SVK,2018,93.9681785616781
SVK,2019,91.5861720662496
SVK,2020,83.4352348546181
SVK,2021,92.3646378080707
SVK,2022,104.828343223068
ESP,2010,26.9765612109155
ESP,2011,29.2582088303504
ESP,2012,29.3899548445162
ESP,2013,29.0243632412605
ESP,2014,30.3702857231399
ESP,2015,30.5723444752396
ESP,2016,29.8774250282658
ESP,2017,31.5264965264277
ESP,2018,32.4298775853318
ESP,2019,31.966988702647
ESP,2020,29.3432225182895
ESP,2021,33.4482890055202
ESP,2022,40.1418724022461
SWE,2010,39.5695242391316
SWE,2011,40.5198362082725
SWE,2012,40.2547256461647
SWE,2013,38.2888561427337
SWE,2014,39.6673704457852
SWE,2015,39.957046992468
SWE,2016,39.6291668167222
SWE,2017,41.2000275021437
SWE,2018,43.4481368827908
SWE,2019,43.6246180157354
SWE,2020,39.3637003432345
SWE,2021,41.834772356116
SWE,2022,50.1589515005562
CHE,2010,55.2274953796785
CHE,2011,59.1063494319767
CHE,2012,58.6764873286656
CHE,2013,61.6254947643605
CHE,2014,54.8761531944622
CHE,2015,53.3095265609995
CHE,2016,56.7481986207652
CHE,2017,57.2733172017334
CHE,2018,56.9503181375544
CHE,2019,57.1622185028615
CHE,2020,57.8586240702692
CHE,2021,59.4795150939379
CHE,2022,62.6969650891024
TUR,2010,25.5003319322519
TUR,2011,30.3104743940847
TUR,2012,28.4699271087686
TUR,2013,28.7342893072763
TUR,2014,28.5607594695458
TUR,2015,26.5572662567277
TUR,2016,25.2446771141555
TUR,2017,29.7227463934139
TUR,2018,31.4014913832561
TUR,2019,30.1615273853454
TUR,2020,32.2228040658038
TUR,2021,35.5319089718355
GBR,2010,30.2470073760482
GBR,2011,32.0645639284922
GBR,2012,31.5154143520964
GBR,2013,31.606310062975
GBR,2014,30.4673488198314
GBR,2015,29.2826957654303
GBR,2016,30.6057482491531
GBR,2017,32.1271189367139
GBR,2018,32.7648893812488
GBR,2019,32.8725470748963
GBR,2020,28.878969128657
GBR,2021,30.0550248739564
GBR,2022,36.2003951449039
USA,2010,15.8785285637489
USA,2011,17.2790159009793
USA,2012,17.0377883064876
USA,2013,16.4242878845559
USA,2014,16.4520340428839
USA,2015,15.3512384335667
USA,2016,14.6474644219723
USA,2017,15.0174225562766
USA,2018,15.2493895453858
USA,2019,14.5794794400405
USA,2020,13.1816358929054
USA,2021,14.5886733140665
CHL,2010,31.81368581821
CHL,2011,34.7918625331617
CHL,2012,34.3105523867804
CHL,2013,33.0558243631885
CHL,2014,32.6307251557272
CHL,2015,30.1580309872616
CHL,2016,28.1347029778835
CHL,2017,27.6947821336461
CHL,2018,29.6480058934679
CHL,2019,29.7035893267312
CHL,2020,26.8296574425108
CHL,2021,32.7419569648867
CHL,2022,39.3476289865343
CHN,2010,22.6718920322344
CHN,2011,24.1727142772823
CHN,2012,22.7749981748301
CHN,2013,22.1451222436738
CHN,2014,21.5856807048136
CHN,2015,18.4943417121259
CHN,2016,17.3100340288943
CHN,2017,17.9401351383834
CHN,2018,18.3447476076686
CHN,2019,17.3410201890452
CHN,2020,16.0481941499674
CHN,2021,17.3467535416977
