LOCATION,SUBJECT,Year,Housing
DNK,NOMINAL,2013-Q3,90.6895902013098
DNK,NOMINAL,2013-Q4,91.1867953884837
DNK,NOMINAL,2014-Q1,91.7251108121574
DNK,NOMINAL,2014-Q2,93.285805862788
DNK,NOMINAL,2014-Q3,93.7006420946456
DNK,NOMINAL,2014-Q4,95.2833762177458
DNK,NOMINAL,2015-Q1,98.1431282657293
DNK,NOMINAL,2015-Q2,99.5224756380847
DNK,NOMINAL,2015-Q3,100.232556727679
DNK,NOMINAL,2015-Q4,102.101839368507
DNK,NOMINAL,2016-Q1,103.295610507982
DNK,NOMINAL,2016-Q2,103.621556807792
DNK,NOMINAL,2016-Q3,105.548424855624
DNK,NOMINAL,2016-Q4,106.440455093719
DNK,NOMINAL,2017-Q1,106.943846891346
DNK,NOMINAL,2017-Q2,109.105507274073
DNK,NOMINAL,2017-Q3,110.241102296861
DNK,NOMINAL,2017-Q4,111.220637315454
DNK,NOMINAL,2018-Q1,113.135279226497
DNK,NOMINAL,2018-Q2,114.271876340041
DNK,NOMINAL,2018-Q3,115.240938074575
DNK,NOMINAL,2018-Q4,115.46705164675
DNK,NOMINAL,2019-Q1,116.301245917356
DNK,NOMINAL,2019-Q2,117.445256831568
DNK,NOMINAL,2019-Q3,117.96899996217
DNK,NOMINAL,2019-Q4,118.403672586844
DNK,NOMINAL,2020-Q1,118.600354480713
DNK,NOMINAL,2020-Q2,119.136081533891
DNK,NOMINAL,2020-Q3,125.17710617324
DNK,NOMINAL,2020-Q4,131.211693125244
DNK,NOMINAL,2021-Q1,135.159580710754
DNK,NOMINAL,2021-Q2,137.544211132065
DNK,NOMINAL,2021-Q3,139.313150598184
DNK,NOMINAL,2021-Q4,140.022437657448
DNK,NOMINAL,2022-Q1,140.784775366014
DNK,NOMINAL,2022-Q2,141.176420452138
DNK,NOMINAL,2022-Q3,136.483998561452
DNK,NOMINAL,2022-Q4,130.893178968014
FIN,NOMINAL,2010-Q2,93.0590371077343
FIN,NOMINAL,2010-Q3,94.6059800940848
FIN,NOMINAL,2010-Q4,95.182682811101
FIN,NOMINAL,2011-Q1,95.7899410062839
FIN,NOMINAL,2011-Q2,97.0835288928853
FIN,NOMINAL,2011-Q3,97.2724622693865
FIN,NOMINAL,2011-Q4,97.3140678314435
FIN,NOMINAL,2012-Q1,98.3892359376524
FIN,NOMINAL,2012-Q2,98.9768761995159
FIN,NOMINAL,2012-Q3,99.290688930645
FIN,NOMINAL,2012-Q4,100.163198932186
FIN,NOMINAL,2013-Q1,100.317901086001
FIN,NOMINAL,2013-Q2,100.20233099292
FIN,NOMINAL,2013-Q3,100.448501556783
FIN,NOMINAL,2013-Q4,100.441266364296
FIN,NOMINAL,2014-Q1,100.185843295966
FIN,NOMINAL,2014-Q2,99.9521761977146
FIN,NOMINAL,2014-Q3,99.9207355577185
FIN,NOMINAL,2014-Q4,99.9212449486006
FIN,NOMINAL,2015-Q1,99.6654026585578
FIN,NOMINAL,2015-Q2,99.8797161764807
FIN,NOMINAL,2015-Q3,100.158174871127
FIN,NOMINAL,2015-Q4,100.296706293835
FIN,NOMINAL,2016-Q1,100.760884381112
FIN,NOMINAL,2016-Q2,100.971659875653
FIN,NOMINAL,2016-Q3,101.797891834645
FIN,NOMINAL,2016-Q4,101.60956390859
FIN,NOMINAL,2017-Q1,101.960883860886
FIN,NOMINAL,2017-Q2,102.512511218964
FIN,NOMINAL,2017-Q3,102.406927781312
FIN,NOMINAL,2017-Q4,102.669677138838
FIN,NOMINAL,2018-Q1,103.012224758306
FIN,NOMINAL,2018-Q2,103.175944303042
FIN,NOMINAL,2018-Q3,103.426546071705
FIN,NOMINAL,2018-Q4,103.725284866946
FIN,NOMINAL,2019-Q1,103.349179309698
FIN,NOMINAL,2019-Q2,103.843510763812
FIN,NOMINAL,2019-Q3,104.005509022519
FIN,NOMINAL,2019-Q4,103.88180090397
FIN,NOMINAL,2020-Q1,104.534229746975
FIN,NOMINAL,2020-Q2,104.450951636283
FIN,NOMINAL,2020-Q3,105.797404229764
FIN,NOMINAL,2020-Q4,107.597414386978
FIN,NOMINAL,2021-Q1,108.8081262238
FIN,NOMINAL,2021-Q2,110.193635456304
FIN,NOMINAL,2021-Q3,110.952224214597
FIN,NOMINAL,2021-Q4,111.836014105299
FIN,NOMINAL,2022-Q1,112.468445934178
FIN,NOMINAL,2022-Q2,112.794126473111
FIN,NOMINAL,2022-Q3,112.467602000489
FIN,NOMINAL,2022-Q4,109.279825600171
FRA,NOMINAL,2010-Q2,99.7
FRA,NOMINAL,2010-Q3,101.2
FRA,NOMINAL,2010-Q4,103.4
FRA,NOMINAL,2011-Q1,104.9
FRA,NOMINAL,2011-Q2,106.7
FRA,NOMINAL,2011-Q3,107.4
FRA,NOMINAL,2011-Q4,107.2
FRA,NOMINAL,2012-Q1,106.8
FRA,NOMINAL,2012-Q2,106.3
FRA,NOMINAL,2012-Q3,105.7
FRA,NOMINAL,2012-Q4,105.1
FRA,NOMINAL,2013-Q1,104.7
FRA,NOMINAL,2013-Q2,104
FRA,NOMINAL,2013-Q3,103.3
FRA,NOMINAL,2013-Q4,103.2
FRA,NOMINAL,2014-Q1,102.7
FRA,NOMINAL,2014-Q2,102.6
FRA,NOMINAL,2014-Q3,101.8
FRA,NOMINAL,2014-Q4,100.6
FRA,NOMINAL,2015-Q1,100.2
FRA,NOMINAL,2015-Q2,99.8
FRA,NOMINAL,2015-Q3,99.9
FRA,NOMINAL,2015-Q4,100.1
FRA,NOMINAL,2016-Q1,100.4
FRA,NOMINAL,2016-Q2,100.5
FRA,NOMINAL,2016-Q3,101.2
FRA,NOMINAL,2016-Q4,101.6
FRA,NOMINAL,2017-Q1,102.9
FRA,NOMINAL,2017-Q2,103.6
FRA,NOMINAL,2017-Q3,104.5
FRA,NOMINAL,2017-Q4,104.9
FRA,NOMINAL,2018-Q1,105.9
FRA,NOMINAL,2018-Q2,106.6
FRA,NOMINAL,2018-Q3,107.7
FRA,NOMINAL,2018-Q4,108.3
FRA,NOMINAL,2019-Q1,109
FRA,NOMINAL,2019-Q2,110
FRA,NOMINAL,2019-Q3,111.3
FRA,NOMINAL,2019-Q4,112.5
FRA,NOMINAL,2020-Q1,114.5
FRA,NOMINAL,2020-Q2,116.2
FRA,NOMINAL,2020-Q3,117
FRA,NOMINAL,2020-Q4,119.6
FRA,NOMINAL,2021-Q1,121.3
FRA,NOMINAL,2021-Q2,123.5
FRA,NOMINAL,2021-Q3,125.8
FRA,NOMINAL,2021-Q4,128
FRA,NOMINAL,2022-Q1,130.2
FRA,NOMINAL,2022-Q2,132
FRA,NOMINAL,2022-Q3,133.9
FRA,NOMINAL,2022-Q4,134.2
DEU,NOMINAL,2010-Q2,83.8450631022654
DEU,NOMINAL,2010-Q3,84.4962417941929
DEU,NOMINAL,2010-Q4,83.8138784517347
DEU,NOMINAL,2011-Q1,86.3793386567965
DEU,NOMINAL,2011-Q2,86.6725312167915
DEU,NOMINAL,2011-Q3,86.8189590287155
DEU,NOMINAL,2011-Q4,87.3180390698662
DEU,NOMINAL,2012-Q1,88.3121058286887
DEU,NOMINAL,2012-Q2,88.6557650758941
DEU,NOMINAL,2012-Q3,90.4396373657168
DEU,NOMINAL,2012-Q4,91.6833894569445
DEU,NOMINAL,2013-Q1,91.7079596891954
DEU,NOMINAL,2013-Q2,92.6656197252998
DEU,NOMINAL,2013-Q3,92.8875509011166
DEU,NOMINAL,2013-Q4,93.1317956667029
DEU,NOMINAL,2014-Q1,94.223291388643
DEU,NOMINAL,2014-Q2,95.2783132309351
DEU,NOMINAL,2014-Q3,96.1746122033413
DEU,NOMINAL,2014-Q4,96.3197381669679
DEU,NOMINAL,2015-Q1,98.2531132948861
DEU,NOMINAL,2015-Q2,99.5495501668287
DEU,NOMINAL,2015-Q3,100.341323346641
DEU,NOMINAL,2015-Q4,101.856013191644
DEU,NOMINAL,2016-Q1,104.420489695078
DEU,NOMINAL,2016-Q2,106.63051357853
DEU,NOMINAL,2016-Q3,108.715881026152
DEU,NOMINAL,2016-Q4,110.342190972929
DEU,NOMINAL,2017-Q1,111.477919946139
DEU,NOMINAL,2017-Q2,113.008825140811
DEU,NOMINAL,2017-Q3,114.865938325138
DEU,NOMINAL,2017-Q4,117.062457625765
DEU,NOMINAL,2018-Q1,118.987840168247
DEU,NOMINAL,2018-Q2,120.66072997814
DEU,NOMINAL,2018-Q3,122.883413022257
DEU,NOMINAL,2018-Q4,124.191233639397
DEU,NOMINAL,2019-Q1,125.399018306082
DEU,NOMINAL,2019-Q2,127.97166313733
DEU,NOMINAL,2019-Q3,129.271207168134
DEU,NOMINAL,2019-Q4,132.187398461672
DEU,NOMINAL,2020-Q1,134.746100314491
DEU,NOMINAL,2020-Q2,136.380210589778
DEU,NOMINAL,2020-Q3,139.870401338759
DEU,NOMINAL,2020-Q4,143.742674605437
DEU,NOMINAL,2021-Q1,147.402860697438
DEU,NOMINAL,2021-Q2,151.978978352753
DEU,NOMINAL,2021-Q3,157.666930276949
DEU,NOMINAL,2021-Q4,161.908778066729
DEU,NOMINAL,2022-Q1,164.416364288071
DEU,NOMINAL,2022-Q2,166.747365259216
DEU,NOMINAL,2022-Q3,164.384360218345
DEU,NOMINAL,2022-Q4,156.116539373822
GRC,NOMINAL,2010-Q2,154.481752286757
GRC,NOMINAL,2010-Q3,150.796945086833
GRC,NOMINAL,2010-Q4,148.67900362418
GRC,NOMINAL,2011-Q1,148.970856413996
GRC,NOMINAL,2011-Q2,146.564513274026
GRC,NOMINAL,2011-Q3,143.578662920328
GRC,NOMINAL,2011-Q4,138.97696739165
GRC,NOMINAL,2012-Q1,133.199979059249
GRC,NOMINAL,2012-Q2,130.708663443079
GRC,NOMINAL,2012-Q3,125.439600279732
GRC,NOMINAL,2012-Q4,121.334757217941
GRC,NOMINAL,2013-Q1,117.870106059793
GRC,NOMINAL,2013-Q2,115.083773878262
GRC,NOMINAL,2013-Q3,112.629099314132
GRC,NOMINAL,2013-Q4,109.682020747814
GRC,NOMINAL,2014-Q1,107.16229193476
GRC,NOMINAL,2014-Q2,105.615016402341
GRC,NOMINAL,2014-Q3,104.922217168991
